tick,maxcos_all,maxcos_old,maxcos_old_rot,n_old
1837,1.00000,0.99792,0.07852,477
1838,1.00000,0.99797,0.11506,478
1839,1.00000,0.99768,0.11014,479
1840,1.00000,0.99796,0.07014,480
1841,1.00000,0.99826,0.07587,481
1842,1.00000,0.99800,0.09717,482
1843,1.00000,0.99860,0.08913,483
1844,1.00000,0.99880,0.10559,484
1845,1.00000,0.99818,0.12899,485
1846,1.00000,0.99816,0.12544,486
1847,1.00000,0.99780,0.10181,487
1848,1.00000,0.99775,0.09058,488
1849,1.00000,0.99764,0.09936,489
1850,1.00000,0.99786,0.10285,490
1851,1.00000,0.99784,0.09923,491
1852,1.00000,0.99798,0.10921,492
1853,1.00000,0.99812,0.11692,493
1854,1.00000,0.99786,0.12216,494
1855,1.00000,0.99853,0.11767,495
1856,1.00000,0.99840,0.10363,496
1857,1.00000,0.99656,0.08961,497
1858,1.00000,0.99796,0.05964,498
1859,1.00000,0.99648,0.04952,499
1860,1.00000,0.99286,0.07479,500
1861,1.00000,0.99604,0.08170,501
1862,1.00000,0.99619,0.08823,502
1863,1.00000,0.99674,0.12411,503
1864,1.00000,0.99776,0.13513,504
1865,1.00000,0.99741,0.10222,505
1866,1.00000,0.99664,0.10813,506
