A,B,R,fate_recovered,t_rec,t_abs,min_ab
0.0000,0.1600,5.3571,0,inf,0.02,0.00000
0.0000,0.1600,5.5060,0,inf,0.02,0.00000
0.0000,0.1600,5.6548,0,inf,0.02,0.00000
0.0000,0.1600,5.8036,0,inf,0.02,0.00000
0.0000,0.1600,5.9524,0,inf,0.02,0.00000
0.0000,0.1600,6.1012,0,inf,0.02,0.00000
0.0000,0.1600,6.2500,0,inf,0.02,0.00000
0.0000,0.1600,6.3988,0,inf,0.02,0.00000
0.0000,0.1600,6.5476,0,inf,0.02,0.00000
0.0000,0.1600,6.6964,0,inf,0.02,0.00000
0.0000,0.1600,6.8452,0,inf,0.02,0.00000
0.0000,0.1600,6.9940,0,inf,0.02,0.00000
0.0000,0.1600,7.1429,0,inf,0.02,0.00000
0.0000,0.1600,7.2917,0,inf,0.02,0.00000
0.0000,0.1800,0.0000,0,inf,0.02,0.00000
0.0000,0.1800,0.1488,0,inf,0.02,0.00000
0.0000,0.1800,0.2976,0,inf,0.02,0.00000
0.0000,0.1800,0.4464,0,inf,0.02,0.00000
0.0000,0.1800,0.5952,0,inf,0.02,0.00000
0.0000,0.1800,0.7440,0,inf,0.02,0.00000
0.0000,0.1800,0.8929,0,inf,0.02,0.00000
0.0000,0.1800,1.0417,0,inf,0.02,0.00000
0.0000,0.1800,1.1905,0,inf,0.02,0.00000
0.0000,0.1800,1.3393,0,inf,0.02,0.00000
0.0000,0.1800,1.4881,0,inf,0.02,0.00000
0.0000,0.1800,1.6369,0,inf,0.02,0.00000
0.0000,0.1800,1.7857,0,inf,0.02,0.00000
0.0000,0.1800,1.9345,0,inf,0.02,0.00000
0.0000,0.1800,2.0833,0,inf,0.02,0.00000
0.0000,0.1800,2.2321,0,inf,0.02,0.00000
0.0000,0.1800,2.3810,0,inf,0.02,0.00000
0.0000,0.1800,2.5298,0,inf,0.02,0.00000
0.0000,0.1800,2.6786,0,inf,0.02,0.00000
0.0000,0.1800,2.8274,0,inf,0.02,0.00000
0.0000,0.1800,2.9762,0,inf,0.02,0.00000
0.0000,0.1800,3.1250,0,inf,0.02,0.00000
0.0000,0.1800,3.2738,0,inf,0.02,0.00000
0.0000,0.1800,3.4226,0,inf,0.02,0.00000
0.0000,0.1800,3.5714,0,inf,0.02,0.00000
